,SalePrice,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,BrickStone,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,YrBuilt,Longitude,Latitude,cluster
3751,719950,511,511,511,511,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-122.3771135,47.6865256,1
3752,475000,1590,0,0,0,1590,0,0,0,460,0,40,0,0,0,3,0,1,1,1968,-122.1571703,47.5127903,3
3753,400000,1920,0,0,0,2520,880,600,280,120,1,0,0,120,0,4,1,1,1,1978,-122.2865521,47.2821339,2
3754,425000,1370,0,890,0,2260,0,0,0,580,0,0,0,80,0,4,0,1,1,1979,-122.1477336,47.3545212,4
3755,369000,1670,0,0,0,2380,1260,710,550,0,1,0,0,150,0,5,0,0,2,1969,-122.2029034,47.2768959,2
3756,250000,1350,0,0,0,1350,0,0,0,0,0,0,0,0,0,2,0,0,1,1943,-122.2363688,47.3913348,3
3757,1110000,1530,0,0,0,1530,0,0,0,520,0,100,0,0,20,3,0,0,2,1962,-122.1706018,47.5863122,3
3758,1027762,1510,0,1730,0,3240,0,0,0,700,0,140,0,0,0,4,0,0,3,2019,-122.126513,47.472112,4
3759,721000,1060,0,0,0,1870,1010,810,200,0,0,50,0,0,0,2,0,1,1,1924,-122.3458634,47.6835157,3
3760,255000,1050,0,0,0,1550,1020,500,500,0,0,0,0,70,0,4,0,0,1,1963,-122.2363465,47.5008488,3
3761,725000,590,0,590,0,1540,560,360,200,0,1,0,70,520,0,3,1,1,1,2017,-122.3632188,47.5565188,1
3762,449950,390,0,390,390,1170,0,0,0,0,0,0,0,10,0,3,0,1,1,2018,-122.2876612,47.5484492,1
3763,615000,1610,0,0,0,2830,1540,1220,320,0,1,0,0,220,0,3,2,1,1,1962,-122.3335162,47.7649767,2
3764,328940,760,0,980,0,1740,0,0,0,230,0,20,0,0,0,4,0,0,3,2018,-122.1620638,47.6993876,4
3765,628500,440,0,440,0,1070,440,190,240,0,1,0,0,360,0,2,0,2,0,2018,-122.3091401,47.5967361,1
3766,450000,1150,560,0,0,1710,1150,0,0,0,0,170,40,0,0,5,0,0,1,1912,-122.3105207,47.5739207,3
3767,769000,1830,0,1860,0,3690,0,0,0,670,0,0,160,0,0,5,0,1,2,2016,-122.1432787,47.4853139,4
3768,434000,1270,0,0,0,1270,0,0,0,520,0,0,0,0,0,3,1,0,1,1956,-122.3311498,47.4546228,3
3769,324950,1180,0,0,0,1180,0,0,0,0,0,0,0,0,0,3,0,0,1,1948,-122.3314487,47.5097065,3
3770,820000,900,0,770,0,2470,900,800,0,0,1,0,0,330,0,2,0,0,2,1972,-122.1639721,47.5673217,2
3771,450000,1250,0,0,0,1940,1250,690,560,0,1,0,0,240,0,3,0,1,1,1963,-122.3331157,47.4127063,2
3772,875000,2200,832,0,0,4602,2200,1570,630,0,0,50,0,0,0,4,1,2,2,1961,-122.2612676,47.5486299,2
3773,503000,1160,0,0,0,1160,1010,0,0,0,1,0,0,120,0,3,0,0,1,1947,-122.3339806,47.7302842,3
3774,665000,1240,0,0,0,2100,1200,860,340,190,1,0,0,80,0,4,0,2,1,1977,-122.1744527,47.7212465,2
3775,604950,730,0,0,0,1470,740,740,0,0,0,80,130,0,0,4,0,0,2,1918,-122.2964401,47.6218754,3
3776,355000,820,0,0,0,910,900,90,180,140,1,0,0,120,0,2,0,0,1,1931,-122.2811343,47.7184132,3
3777,607000,1140,0,0,0,1640,1060,500,300,140,1,0,0,250,0,3,1,1,1,1976,-122.1145121,47.681448,2
3778,409700,590,0,640,0,1380,570,150,420,0,1,100,0,0,0,2,1,1,1,2016,-122.1612583,47.4869567,1
3779,700000,1290,0,0,0,1890,1290,600,250,0,0,0,0,130,0,3,0,0,1,1950,-122.4124792,47.57296,3
3780,716000,920,0,320,0,1240,920,0,0,270,0,80,0,360,0,3,0,1,1,1946,-122.265411,47.6716302,3
3781,669950,1025,0,1462,0,2487,0,0,0,400,0,45,0,0,0,4,0,1,2,2019,-122.1562092,47.4366449,4
3782,670000,2220,0,360,0,2580,0,0,0,400,0,0,0,0,0,4,1,0,1,1952,-122.3101958,47.7537732,3
3783,244800,940,0,0,0,940,0,0,0,0,0,0,0,0,0,3,0,0,1,1956,-122.1721801,47.4988716,3
3784,465950,1330,0,0,0,1660,680,330,350,130,1,0,0,260,0,3,0,1,1,1976,-122.1293736,47.4478455,2
3785,575000,400,0,480,480,1360,0,0,0,0,0,0,80,400,0,3,1,1,1,2019,-122.3694663,47.5670971,1
3786,552000,1710,0,0,0,1710,0,0,0,460,0,0,0,0,0,3,0,0,2,2019,-122.1620917,47.6959835,3
3787,539950,1070,500,0,0,1570,660,0,200,40,0,0,0,0,0,4,0,0,1,1940,-122.314519,47.5632521,3
3788,490000,890,0,0,0,890,0,0,0,500,0,0,0,0,0,3,0,0,1,1952,-122.2969772,47.7440703,3
3789,785000,1690,0,0,0,1690,700,0,650,0,0,350,0,0,25,3,0,1,1,1951,-122.2769547,47.707173,3
3790,500000,1210,480,0,0,1790,1210,100,240,0,0,100,0,140,0,3,1,0,1,1925,-122.2853366,47.5693602,3
3791,650000,1510,0,0,0,2680,1510,1170,340,0,1,0,0,70,0,4,1,1,1,1963,-122.2354395,47.7418278,2
3792,1100000,760,890,0,0,2240,590,590,0,530,1,100,0,0,0,4,1,1,1,1972,-122.167692,47.6418541,2
3793,815000,680,0,610,0,1820,530,530,0,0,1,0,60,640,0,4,1,1,1,2019,-122.3069286,47.5981546,1
3794,988000,1550,0,0,0,2500,1550,950,600,0,1,130,0,320,0,4,0,1,2,1961,-122.1658286,47.6126028,2
3795,475000,940,0,0,0,940,0,0,0,0,0,0,0,0,0,3,0,0,1,1948,-122.3240523,47.7437986,3
3796,694880,570,0,680,0,1510,590,260,330,0,1,140,0,0,0,3,0,2,1,2019,-122.3045998,47.692088,1
3797,402000,2030,0,0,0,2030,0,0,0,730,0,0,0,350,0,3,0,1,1,1975,-122.2177247,47.2866482,3
3798,560000,900,500,0,0,1400,900,0,0,0,0,0,50,0,0,3,0,0,1,1922,-122.2923315,47.6074462,3
3799,974990,1270,0,1740,0,3010,0,0,0,670,0,240,0,0,0,4,0,1,2,2018,-122.136919,47.4854464,4
3800,378000,1060,0,0,0,1500,960,440,260,160,1,0,0,60,0,3,0,0,2,1978,-122.1626386,47.4537973,2
3801,530000,780,190,0,0,1110,780,140,0,330,0,80,0,0,50,3,0,0,1,1948,-122.2751114,47.5556979,3
